"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/department/",82379,18,530,555,39,5333,1955,69.00
"POST","/api/department/",8392,2,530,557,51,3465,66,7.03
"GET","/api/department/1",82692,15,520,547,26,3572,150,69.26
"GET","/api/medicine/",82237,10,540,558,36,5300,2631,68.88
"POST","/api/medicine/",8154,2,540,557,58,3060,101,6.83
"GET","/api/medicine/1",82320,16,530,547,35,3898,86,68.95
"GET","/api/user/",82214,14,530,553,27,3558,582,68.86
"POST","/api/user/login",14,0,250,265,168,377,42,0.01
"None","Total",428402,77,530,552,26,5333,1041,358.84
