"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/api/user/login",861,1579,330,404,0,1485,42,31.07
"None","Total",861,1579,330,404,0,1485,42,31.07
