"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/department/",1949080,70,86,98,110,130,160,200,230,3332
"POST /api/department/",194481,43,55,64,72,97,120,160,190,1368
"GET /api/department/1",1951053,34,46,55,62,87,110,150,180,3018
"GET /api/medicine/",1946500,73,89,100,110,140,160,200,230,5530
"POST /api/medicine/",194548,43,55,65,72,97,120,160,190,3076
"GET /api/medicine/1",1950021,34,46,55,63,87,110,150,180,3015
"GET /api/user/",1946163,40,52,61,69,93,120,150,180,1964
"Total",10131846,49,65,78,87,110,140,180,210,5530
